Pressure	Volume
11.101281	121.379341
11.464375	121.269348
11.828603	121.158875
12.193949	121.047935
12.560390	120.936531
12.927915	120.824677
13.296515	120.712341
13.666228	120.599556
14.036961	120.486298
14.408744	120.372551
14.781613	120.258385
15.155437	120.143730
15.530329	120.028587
15.906214	119.912987
16.283096	119.796913
16.660948	119.680389
17.039776	119.563362
17.419559	119.445900
17.800322	119.327980
18.181993	119.209557
18.564610	119.090706
18.948149	118.971375
19.332609	118.851570
19.717978	118.731300
20.104237	118.610596
20.491379	118.489418
20.879377	118.367805
21.318106	118.191109
21.844576	117.919518
22.373146	117.647224
22.903868	117.374306
23.436716	117.100716
23.971682	116.826500
24.508736	116.551643
25.047981	116.276161
25.589262	116.000084
26.132729	115.723358
26.678274	115.446068
27.225885	115.168175
27.775648	114.889732
28.327503	114.610680
28.881430	114.331154
29.437429	114.051048
29.995533	113.770470
30.555685	113.489357
31.117861	113.207771
31.682138	112.925728
32.248394	112.643219
32.816761	112.360283
33.387115	112.076927
33.959484	111.793152
34.533882	111.508980
35.110245	111.224449
35.688580	110.939537
36.266853	110.656219
36.846306	110.373268
37.427677	110.089989
38.010960	109.806389
38.596092	109.522514
39.183094	109.238342
39.771935	108.953880
40.362602	108.669159
40.955078	108.384163
41.549355	108.098930
42.145374	107.813446
42.743111	107.527702
43.342594	107.241722
43.943745	106.955505
44.546566	106.669029
45.150978	106.382332
45.756981	106.095390
46.364559	105.808197
46.973625	105.520752
47.584171	105.233070
48.196114	104.945107
48.809422	104.656883
49.424084	104.368378
50.039993	104.079590
50.657146	103.790497
51.275383	103.501099
51.893913	103.212067
52.505711	102.929138
53.118427	102.645874
53.731934	102.362236
54.346188	102.078224
54.961113	101.793816
55.576591	101.508995
56.192596	101.223732
56.808994	100.938011
57.425724	100.651817
58.042633	100.365135
58.659698	100.077950
59.276798	99.790222
59.893780	99.501984
60.510609	99.213165
61.127132	98.923775
61.743214	98.633812
62.358837	98.343224
62.973801	98.052032
63.588055	97.760231
64.201416	97.467812
64.813759	97.174767
65.425018	96.881081
66.035057	96.586769
66.643715	96.291847
67.250839	95.996307
67.856422	95.700165
68.453896	95.408875
69.042374	95.123207
69.628929	94.837029
70.213379	94.550354
70.795654	94.263214
71.375603	93.975609
71.953033	93.687584
72.527863	93.399178
73.099823	93.110390
73.668831	92.821312
74.234711	92.531929
74.797218	92.242302
75.356163	91.952484
